gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster
AL669831.5	8.04695193623887e-14	0.00443127525497151	1.79900744416873	0.652539872615887	2.51424142013769e-13	c8
FAM41C	0.0059846260450921	0.000479454326520981	0.0620347394540943	0.0086773919230836	0.0132270112880748	c8
NOC2L	9.24254191668988e-117	0.0545034502811104	20.0682382133995	7.51288592700578	6.54234636559614e-116	c8
KLHL17	5.86961105240115e-12	0.00400015198577999	2.07816377171216	0.86773919230836	1.78036551935814e-11	c8
HES4	2.76007507892408e-40	0.0480599122616117	8.1575682382134	3.48310511792576	1.11634585138635e-39	c8
ISG15	7.4336212078334e-186	0.495966428049506	71.8362282878412	38.9788445184915	8.59685476097643e-185	c8
AL645608.2	0.00143380558429735	0.000975317123312674	0.372208436724566	0.144044705923188	0.0033444826600476	c8
AGRN	1.66152746958452e-18	0.0103318480771564	2.35732009925558	0.833029624616025	5.5205377724317e-18	c8
C1orf159	5.43674087897119e-60	0.0250099750607118	5.89330024813896	1.73027194946287	2.56271842022398e-59	c8
SDF4	1.14358640568041e-57	0.0879554644438141	50	27.5611322260981	5.29599570197591e-57	c8
B3GALT6	7.42713656670887e-52	0.017206909620828	5.924317617866	1.89514239600146	3.29791216965818e-51	c8
UBE2J2	3.16476123929977e-232	0.149545771330745	34.863523573201	11.9695944187015	5.09307881207465e-231	c8
SCNN1D	0.00402615107464077	0.00110606389430752	0.43424317617866	0.196109057461689	0.00917503939262773	c8
ACAP3	3.74376795446554e-104	0.0454313214738529	9.98759305210918	2.85139098592527	2.41691029175871e-103	c8
PUSL1	4.25429998572569e-142	0.0500030026147703	12.3759305210918	3.300879887541	3.56880222414378e-141	c8
INTS11	1.84162895986748e-228	0.134518462192591	31.8238213399504	10.5812117110081	2.87678398025317e-227	c8
CPTP	9.59490893041228e-117	0.0389187713031917	10.2667493796526	2.76635254507905	6.78890412886428e-116	c8
TAS1R3	3.30435375307964e-16	0.00253591027549336	0.527295285359802	0.0711546137692855	1.06651348446526e-15	c8
AURKAIP1	5.81885243542154e-243	0.391858817157866	67.8660049627792	29.5760226306381	1.00906242491814e-241	c8
CCNL2	3.72723043621183e-84	0.0423372889779511	24.4727047146402	11.0515263532393	2.0785476283617e-83	c8
MRPL20	6.09135625295855e-153	0.231980236293976	53.8461538461538	24.8763471650961	5.53486605287791e-152	c8
ANKRD65	9.15613363189287e-10	0.000941297270707364	0.124069478908189	0.00520643515385016	2.67373452108335e-09	c8
LINC01770	0.00477226335474959	5.99261067503739e-05	0.0310173697270471	0.00173547838461672	0.0106396442459344	c8
VWA1	1.58348436939245e-07	0.000766104589901402	0.124069478908189	0.0086773919230836	4.40246197303191e-07	c8
ATAD3B	1.38563649617875e-99	0.0313746174920398	10.3598014888337	3.08220961107929	8.66681775621839e-99	c8
ATAD3A	2.32939876159843e-281	0.0832564587215475	14.1749379652605	2.55635966054043	5.13969576753212e-280	c8
SSU72	1.45440882745235e-45	0.0902032616139423	53.0707196029777	30.3431040766387	6.14022699585814e-45	c8
AL645728.1	2.16800322769486e-16	0.00468314030841966	2.23325062034739	0.819145797539092	7.01635551967868e-16	c8
FNDC10	0.000571264768746531	0.00149714530065401	0.372208436724566	0.133631835615487	0.00135822187822353	c8
CDK11B	3.23007830495485e-282	0.163626307325446	31.6687344913151	9.53645372346887	7.16470675870211e-281	c8
FO704657.1	0.00139150078681286	0.000396985861561802	0.403225806451613	0.161399489769355	0.00324670609351117	c8
SLC35E2B	1.11993246025749e-26	0.00650858847228564	10.0186104218362	5.22031898092709	4.0435240447966e-26	c8
CDK11A	1.14102720834696e-98	0.0487279790337338	20.2853598014888	8.1688967563909	7.08884778335164e-98	c8
SLC35E2A	1.77073731242147e-15	0.00347837446705078	3.59801488833747	1.65738185730897	5.66075569383198e-15	c8
NADK	2.82665011815724e-184	0.0631063524185961	15.4466501240695	3.99160028461846	3.23219201032246e-183	c8
GNB1	0	0.229342260406947	43.3312655086849	14.0226653477031	0	c8
GABRD	0.00477226335474959	0.000169630406138608	0.0310173697270471	0.00173547838461672	0.0106396442459344	c8
AL590822.2	0.0230441640550335	0.000484352525679205	0.0930521091811414	0.0242966973846341	0.0490639394411957	c8
FAAP20	3.21606066684486e-169	0.191754132056259	50.0930521091811	21.7299248537859	3.29746996773595e-168	c8
MORN1	4.35606118733393e-26	0.00585944558803933	1.61290322580645	0.360979504000278	1.56299968011988e-25	c8
RER1	0	0.345598284258496	59.3982630272953	22.3217229829402	0	c8
PEX10	8.8166188287786e-66	0.0208479018132792	7.81637717121588	2.53032748477118	4.33565633841021e-65	c8
PANK4	8.81938601313825e-94	0.0332883513979309	8.28163771712159	2.2526509432325	5.29510505027982e-93	c8
TNFRSF14-AS1	2.42780202345103e-21	0.00654676943015718	4.68362282878412	2.07910310477083	8.32978253324814e-21	c8
FAM213B	2.62735782949969e-13	0.00167766292957192	3.72208436724566	1.84307804446296	8.12881244333586e-13	c8
PRDM16	0.00477226335474959	0.000373270694654739	0.0310173697270471	0.00173547838461672	0.0106396442459344	c8
WRAP73	3.67891362175772e-125	0.059673062192552	18.3312655086849	6.41779906631263	2.74918460442314e-124	c8
TP73	0	0.0862131697401281	9.98759305210918	1.04649346592388	0	c8
AL136528.1	2.78246451262073e-17	0.00111032057430758	0.124069478908189	0	9.10333575497748e-17	c8
CCDC27	0.00217249292862529	0.000728717854432149	0.0620347394540943	0.00694191353846688	0.00501305581177725	c8
LRRC47	9.34500701102966e-129	0.057791132438126	17.7109181141439	6.02210999462002	7.19992752437199e-128	c8
AL365330.1	4.78874140478987e-05	0.000202504105527362	0.0930521091811414	0.0086773919230836	0.00011933779850932	c8
CEP104	1.25741155189365e-108	0.042472448693802	12.6861042183623	4.01069054684924	8.3889135920846e-108	c8
DFFB	5.17963210202208e-16	0.00331643674236624	2.66749379652605	1.07426112007775	1.66728574179496e-15	c8
C1orf174	4.54521210730503e-214	0.0950007758541258	20.8436724565757	5.85723954808143	6.40762184341304e-213	c8
LINC01134	8.73609481326247e-10	0.00183963179159129	0.248138957816377	0.0277676541538675	2.55329976337426e-09	c8
NPHP4	2.12251346500532e-30	0.00835753387900882	3.13275434243176	0.964925981846896	7.91294537453852e-30	c8
KCNAB2	5.96120593359265e-99	0.080494282540705	34.9255583126551	16.3360580343972	3.71197409210602e-98	c8
RNF207	9.96827388666042e-05	0.00118102092899088	0.992555831265509	0.485933947692682	0.000244776665405489	c8
ICMT	0	0.174078104326957	25.4032258064516	4.65802398431128	0	c8
LINC00337	6.57519452099506e-31	0.00376666080112976	0.620347394540943	0.0451224380000347	2.46197246673141e-30	c8
ACOT7	0	0.324611485057358	37.5930521091811	5.49278908731192	0	c8
AL031848.2	7.59315880426968e-06	0.00225343173728358	0.837468982630273	0.34362472015411	2.00440267593543e-05	c8
HES2	6.58053376516383e-05	0.000140996899221031	0.0620347394540943	0.00347095676923344	0.000162504927042239	c8
ESPN	0.000845143222970648	0.00060214387485729	0.620347394540943	0.286353933461759	0.00199425972081824	c8
TNFRSF25	7.23443675178858e-20	0.0032087345183841	22.0843672456576	14.2257163187032	2.44265116059081e-19	c8
NOL9	8.01123764709872e-146	0.0533744748072797	12.2518610421836	3.196751184464	6.90696370715673e-145	c8
ZBTB48	2.47184087414754e-46	0.0161704031519197	7.59925558312655	2.90345533746377	1.04950752294164e-45	c8
PHF13	2.01390293320053e-89	0.0306048563780018	5.86228287841191	1.31549261553947	1.16755711803204e-88	c8
THAP3	3.42134572430251e-85	0.0300031985908374	8.83995037220844	2.64486905815588	1.92138467685294e-84	c8
DNAJC11	2.36442356503228e-104	0.0353027417624923	9.8014888337469	2.75767515315597	1.52966893372015e-103	c8
CAMTA1-DT	1.92644097435041e-10	0.00253236733745745	0.527295285359802	0.109335138230853	5.70649862195409e-10	c8
CAMTA1	7.74989082502534e-288	0.252250378124178	48.9454094292804	17.5404800333212	1.78024546910753e-286	c8
